County,Status,Notes,Link
Adams,,,
Ashland,,,
Barron,,,
Bayfield,,,
Brown,,,
Buffalo,,,
Burnett,,,
Calumet,,,
Chippewa,,,
Clark,,,
Columbia,,,
Crawford,,,
Dane,Enacted,"18-month moratorium approved by the Dane County Board of Supervisors on June 4, 2026.",https://www.danecountyparks.com/PressDetail/11898
Dodge,Enacted,"18-month moratorium approved by the Dodge County Board of Supervisors on Aug. 17, 2026.",https://dailydodge.com/dodge-county-board-of-supervisors-votes-to-approve-data-center-moratorium/
Door,,,
Douglas,,,
Dunn,,,
Eau Claire,,,
Florence,,,
Fond du Lac,,,
Forest,,,
Grant,,,
Green,Enacted,"12-month moratorium approved by the Green County Board of Supervisors on July 14, 2026.",https://www.greencountywi.org/DocumentCenter/View/4434/26-0703-Moratorium-Data-Centers-PROPOSED
Green Lake,,,
Iowa,,,
Iron,,,
Jackson,,,
Jefferson,,,
Juneau,,,
Kenosha,,,
Kewaunee,,,
La Crosse,,,
Lafayette,,,
Langlade,,,
Lincoln,,,
Manitowoc,Enacted,"18-month moratorium approved by the Manitowoc County Board on April 28, 2026.",https://www.wpr.org/news/manitowoc-county-board-approves-18-month-data-center-moratorium
Marathon,,,
Marinette,,,
Marquette,,,
Menominee,,,
Milwaukee,,,
Monroe,,,
Oconto,,,
Oneida,Enacted,"12-month moratorium approved by Onieda County Board on Aug. 18, 2026.",https://www.waow.com/news/oneida-county-passes-one-year-data-center-moratorium/article_d4eb81a5-22c7-432a-9690-d2972c7c1474.html
Outagamie,,,
Ozaukee,,,
Pepin,,,
Pierce,,,
Polk,,,
Portage,,,
Price,,,
Racine,,,
Richland,,,
Rock,,,
Rusk,,,
Sauk,,,
Sawyer,,,
Shawano,,,
Sheboygan,,,
St. Croix,,,
Taylor,,,
Trempealeau,,,
Vernon,,,
Vilas,,,
Walworth,,,
Washburn,,,
Washington,,,
Waukesha,,,
Waupaca,,,
Waushara,,,
Winnebago,Enacted,"12-month moratorium passed by Winnebago County Board on Aug 18, 2026.",https://www.thenorthwestern.com/story/news/local/oshkosh/2026/08/19/winnebago-county-data-center-moratorium-ai-zoning/91373019007/?gnt-cfr=1&gca-cat=p&gca-uir=false&gca-epti=z115727p115750c115750e007700v115727&gca-ft=75&gca-ds=sophi
Wood,,,
